SL.No,No of cycles,fatigue stress(strength) (MPa),Solution temp (cel),Sol time (hrs),Temp.  measurement  (cel),Ann/Age. temp (cel),Ann/age time (hrs),total strain (%),R,Frequency(Hz),Ti,Al,V,C,N,O,H,Fe,Si,Sn,Nb,Mo,Zr
190,10000000,900,932,0,25,704,2,0,0.8,60,89.148,6.27,4.19,0,0.012,0.18,0,0.2,0,0,0,0,0
191,10000000,540,925,1,25,700,2,0,0.1,50,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0
192,10000000,640,925,1,25,700,2,0,0.5,50,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0
193,10000000,520,0,0,25,0,0,0,-1,20000,89.31,6.29,4.11,0.08,0.03,0.13,0,0.05,0,0,0,0,0
194,10000000,498,0,0,25,700,2,0,0.1,90,89.1,6.3,4.2,0,0.013,0.19,0.0041,0.19,0,0,0,0,0
195,10000000,582,0,0,25,700,2,0,0.5,90,89.1,6.3,4.2,0,0.013,0.19,0.0041,0.19,0,0,0,0,0
196,10000000,680,0,0,25,700,2,0,0,0,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0
197,10000000,540,0,0,25,500,24,0,0,90,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0
198,10000000,600,0,0,25,500,24,0,0,90,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0
199,10000000,730,0,0,25,500,24,0,0,90,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0
200,10000000,800,0,0,25,500,24,0,0,90,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0
201,10000000,680,0,0,25,500,24,0,0,90,89.14,6.27,4.19,0,0.012,0.18,0.0041,0.2,0,0,0,0,0
202,10000000,620,1050,0.25,25,500,24,0,-1,80,89.41,6.4,4,0,0,0.19,0,0,0,0,0,0,0
203,10000000,750,0,0,25,595,8,0,0.1,100,82,6,0,0,0,0,0,0,0,2,0,6,4
204,10000000,268.16,0,0,25,1300,4,0,0,20,52.39,28.67,0,0.016,0.53,0.002,0.023,0,0,0,18.7,0,0
